"","SRR10025184","SRR10025185","SRR17261763","SRR17261764","SRR17261651","SRR17261652","SRR17261653","SRR8145407","SRR8145408","SRR8145409","SRR8145410","SRR8145411","SRR8145412","SRR17261705","SRR5115673","SRR5115674","SRR5115675"
"ENSMUSG00000046623.9",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042357.3",1,0,1,0,0,1,0,0,1,1,1,0,0,2,0,0,0
"ENSMUSG00000028813.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028804.21",4,4,3,1,0,2,1,1,2,3,3,3,1,1,1,2,2
"ENSMUSG00000048686.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000061894.16",351,211,84,125,182,133,148,16,18,13,19,15,21,145,84,112,110
"ENSMUSG00000062545.5",263,231,270,100,298,158,392,61,119,122,104,128,118,308,161,301,406
"ENSMUSG00000028796.18",1585,1238,1212,1363,1491,1153,1343,273,271,315,368,273,279,1466,175,264,218
"ENSMUSG00000028794.14",16,4,1,8,3,1,2,1,0,0,0,0,0,0,1,2,1
"ENSMUSG00000028799.16",269,121,289,274,313,254,278,31,43,73,54,46,78,308,16,27,45
"ENSMUSG00000041000.9",92,46,77,116,81,48,73,15,15,7,9,8,8,104,15,10,8
"ENSMUSG00000028789.17",71,39,89,132,41,129,106,25,33,19,11,43,28,50,48,56,60
"ENSMUSG00000028792.15",7793,6126,6192,4270,5729,5283,5101,1525,1737,1721,1341,1939,2250,6077,3612,3448,4109
"ENSMUSG00000028793.16",1106,869,1000,756,1331,1182,1289,287,301,356,234,261,316,1680,822,1102,990
"ENSMUSG00000028786.16",1,0,8,1,4,2,2,2,0,0,0,0,0,2,0,1,1
"ENSMUSG00000028785.14",8,4,7,13,5,4,5,10,1,3,2,6,6,3,2,5,9
"ENSMUSG00000001334.10",13,23,34,8,17,17,15,14,12,9,44,18,13,31,14,15,54
"ENSMUSG00000040928.16",1659,1663,706,1934,817,871,757,187,180,186,160,181,191,906,288,300,289
"ENSMUSG00000028811.13",2050,1440,1084,1202,1243,711,950,274,288,290,361,230,343,1196,353,441,407
"ENSMUSG00000050390.13",2176,1712,1937,1804,2683,2752,3590,309,558,552,411,457,545,4272,308,564,643
"ENSMUSG00000001333.10",37,34,2,0,3,3,5,1,3,0,1,1,1,0,3,1,2
"ENSMUSG00000057236.11",6097,5976,2833,3286,3167,3014,2617,817,870,795,847,850,914,2775,1123,1379,1259
"ENSMUSG00000057572.16",1346,1297,916,845,842,807,679,378,347,342,326,326,316,901,45,58,57
"ENSMUSG00000028807.3",148,72,79,39,87,101,82,27,7,19,27,23,21,65,93,76,83
"ENSMUSG00000048485.13",2,2,15,4,2,14,15,2,2,1,9,1,3,3,2,1,2
