"","SRR10025184","SRR10025185","SRR17261763","SRR17261764","SRR17261651","SRR17261652","SRR17261653","SRR8145407","SRR8145408","SRR8145409","SRR8145410","SRR8145411","SRR8145412","SRR17261705","SRR5115673","SRR5115674","SRR5115675"
"ENSMUSG00000051951.6",9,1,0,2,1,2,0,1,2,2,0,1,1,0,5,5,11
"ENSMUSG00000025900.14",1,0,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0
"ENSMUSG00000025902.14",226,161,142,150,93,99,113,21,15,17,20,15,10,69,28,31,26
"ENSMUSG00000033845.14",4494,3605,2024,2305,2146,1737,1866,783,677,706,622,660,844,2284,1241,1364,1401
"ENSMUSG00000025903.15",6536,12739,3221,3046,3505,2886,2910,883,932,867,851,825,1068,2974,1460,1662,1591
"ENSMUSG00000104217.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3
"ENSMUSG00000033813.16",5382,8176,1772,2151,2633,2350,1931,589,562,476,596,465,622,2314,1367,1503,1397
"ENSMUSG00000002459.18",13,9,0,1,3,1,1,2,1,1,0,1,0,3,1,2,1
"ENSMUSG00000033793.13",3986,4933,1698,1683,2636,2269,1925,886,746,695,548,736,680,2367,2080,2010,2125
"ENSMUSG00000025905.15",1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
"ENSMUSG00000033774.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025907.15",8251,11301,843,914,1885,1947,1639,347,388,332,330,374,372,2177,2278,2517,2747
"ENSMUSG00000087247.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033740.18",1,12,0,0,22,0,0,1,0,0,0,1,0,0,0,0,0
"ENSMUSG00000051285.18",12544,16448,3131,3724,5522,6166,5411,1459,1446,1187,956,1487,1227,5481,5017,5163,5801
"ENSMUSG00000025909.17",524,453,18,30,20,30,21,6,4,4,9,8,9,38,160,180,181
"ENSMUSG00000061024.9",1186,985,630,1180,552,572,432,167,169,160,143,181,132,879,66,72,80
"ENSMUSG00000025911.15",3844,3229,2156,2511,3298,4250,3419,862,860,785,532,914,933,4984,954,1420,1377
"ENSMUSG00000067879.4",37,47,14,3,5,11,6,3,0,2,3,7,0,15,9,11,7
"ENSMUSG00000025912.17",97,134,46,39,20,44,35,19,9,9,15,19,4,47,16,32,31
"ENSMUSG00000045210.9",6735,8616,989,1210,1816,1842,1509,315,340,311,339,318,313,1840,940,1135,1064
"ENSMUSG00000025915.15",2247,2525,473,553,861,888,621,147,183,144,192,162,176,894,613,730,687
"ENSMUSG00000046101.17",108,111,8,9,1,8,6,2,1,2,0,3,1,7,15,31,25
"ENSMUSG00000099032.3",298,681,228,94,306,597,63,21,11,10,21,53,10,125,174,227,112
"ENSMUSG00000025916.11",5,20,30,13,19,28,4,0,3,3,0,9,2,4,27,19,12
"ENSMUSG00000025917.10",3027,3423,1901,1842,2277,2084,1873,573,574,572,561,631,655,2383,662,802,803
"ENSMUSG00000056763.17",5092,4721,817,1262,543,476,403,102,105,123,118,112,141,779,880,1156,858
"ENSMUSG00000067851.12",13336,17253,1840,2085,4091,3671,3490,654,771,600,601,626,702,4213,1806,2465,2433
"ENSMUSG00000042501.13",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000048960.14",2907,2844,972,1745,856,916,760,481,447,546,414,442,582,416,887,802,917
"ENSMUSG00000057715.14",1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000016918.16",111,67,11,16,84,74,67,57,63,40,23,72,31,28,24,31,51
"ENSMUSG00000025938.17",12,4,2,0,1,5,0,0,2,0,2,0,2,3,1,2,1
"ENSMUSG00000042414.8",0,0,2,0,1,1,4,0,0,0,0,1,0,0,3,0,0
"ENSMUSG00000005886.15",7121,6168,1071,1414,2297,2022,2093,325,357,364,352,293,327,2054,703,1003,1049
"ENSMUSG00000025935.11",8393,10147,6594,5167,6752,6072,6173,1422,1612,1268,1637,1304,1427,5235,6591,7067,7833
"ENSMUSG00000025937.7",21820,30701,7784,5108,10548,8959,10146,2054,2192,1441,1813,1822,2303,9041,4726,4451,5785
"ENSMUSG00000067813.4",923,1418,643,621,653,524,625,172,193,158,120,166,143,560,369,525,436
"ENSMUSG00000025932.15",5,2,0,0,0,0,1,0,0,0,1,0,0,2,2,0,2
"ENSMUSG00000025930.7",39,15,18,19,17,19,16,7,4,4,4,5,9,23,8,13,5
"ENSMUSG00000032769.6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000092083.5",0,1,0,0,0,0,0,2,3,1,1,1,0,0,3,1,0
"ENSMUSG00000025925.15",1678,2077,330,412,423,401,415,93,110,97,97,112,131,476,116,137,130
"ENSMUSG00000032719.5",15,5,5,0,0,0,1,0,0,0,1,0,0,1,4,2,7
"ENSMUSG00000067795.14",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000043716.14",12373,12049,12517,19060,13195,13279,12367,5047,4450,3979,4262,4141,5013,12318,13438,15246,14480
"ENSMUSG00000025921.8",2037,1992,1211,973,1428,1126,1156,363,377,285,329,254,345,1221,1257,1372,1401
"ENSMUSG00000025920.20",578,564,159,85,279,269,238,38,51,29,53,54,56,241,141,175,171
"ENSMUSG00000025939.20",1952,2693,679,708,877,940,794,250,233,215,177,224,259,793,407,392,385
"ENSMUSG00000079658.10",1531,1570,1565,1544,1286,1208,990,537,463,463,497,411,453,1106,571,540,561
"ENSMUSG00000025940.7",1925,2357,1124,946,1355,1238,1173,425,401,317,330,342,403,1343,1081,1204,1250
"ENSMUSG00000025779.11",229,250,156,109,106,81,105,37,47,52,34,32,31,112,30,50,39
"ENSMUSG00000042686.6",96,112,44,112,74,76,54,12,26,13,11,19,17,63,28,41,31
"ENSMUSG00000025777.9",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"ENSMUSG00000067780.4",30,18,4,0,6,10,11,3,0,1,1,0,3,4,5,10,6
"ENSMUSG00000025776.14",10,6,0,0,1,3,0,0,0,0,0,0,0,1,0,2,0
"ENSMUSG00000025774.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073735.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067773.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042596.8",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"ENSMUSG00000025927.14",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000043760.17",2777,1852,317,117,590,561,575,58,63,44,96,87,85,424,797,777,858
"ENSMUSG00000025929.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041872.10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000041859.11",282,265,223,125,360,284,478,43,78,62,134,45,50,350,116,156,168
"ENSMUSG00000025931.16",65,58,16,14,29,30,41,3,2,4,6,6,1,27,30,17,18
"ENSMUSG00000041809.6",27,16,13,14,6,11,13,5,5,0,2,5,3,10,3,8,14
"ENSMUSG00000041779.6",1095,849,419,566,560,444,483,72,105,101,78,84,96,700,88,146,145
"ENSMUSG00000025933.16",110,76,149,107,123,151,118,54,50,52,41,41,38,97,109,110,133
"ENSMUSG00000025934.16",68772,49115,39157,57241,59226,44558,45784,15072,15516,11857,11268,14602,18614,57772,44077,42265,41422
"ENSMUSG00000067750.4",2,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"ENSMUSG00000041722.8",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085079.4",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028033.17",62,27,5,2,15,10,15,3,5,0,4,3,4,11,4,16,11
"ENSMUSG00000041670.20",3,2,4,0,4,3,6,1,1,2,3,4,1,7,2,3,4
"ENSMUSG00000073730.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026158.12",1167,1592,697,688,700,588,700,236,290,249,276,292,190,749,212,361,232
"ENSMUSG00000026156.9",205,138,40,56,18,17,31,3,1,4,2,7,3,32,48,50,41
"ENSMUSG00000026155.14",910,888,76,80,221,222,188,100,154,144,125,135,80,355,114,127,118
"ENSMUSG00000026154.5",282,337,804,697,504,450,400,200,191,156,182,158,191,501,375,433,521
"ENSMUSG00000026153.16",3174,3205,1110,1383,909,765,723,134,114,113,143,148,141,939,934,1179,964
"ENSMUSG00000026147.17",1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0
"ENSMUSG00000026141.14",3,2,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0
"ENSMUSG00000073725.9",5342,6886,1646,1721,3103,3248,2769,650,635,627,582,701,656,2920,1635,1825,1812
"ENSMUSG00000033569.18",0,1,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0
"ENSMUSG00000073722.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000048411.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048874.16",8779,9505,1088,1755,2198,2125,1772,364,389,332,294,331,355,2435,1213,1314,1345
"ENSMUSG00000026064.17",617,721,193,168,14,43,28,8,10,7,3,13,5,48,83,177,56
"ENSMUSG00000117310.3",461,160,2,0,2,3,1,2,4,11,3,17,11,7,135,86,71
"ENSMUSG00000117091.2",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000086727.9",83,56,7,10,2,17,4,5,2,2,2,10,3,13,19,21,13
"ENSMUSG00000050217.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026063.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026058.12",1,6,30,38,2,4,2,4,5,2,3,2,3,5,0,0,0
"ENSMUSG00000091318.3",1,1,2,1,0,0,1,0,0,1,1,4,1,1,0,0,0
"ENSMUSG00000026134.12",220,204,93,73,119,127,143,17,22,16,44,15,24,125,103,112,130
"ENSMUSG00000004768.15",433,359,423,337,593,574,620,127,129,73,107,141,141,424,120,113,212
"ENSMUSG00000042215.9",106,114,86,90,115,192,104,14,12,11,29,21,33,80,56,69,56
"ENSMUSG00000042197.14",3590,3509,511,728,611,668,521,127,123,122,118,138,136,629,737,961,825
"ENSMUSG00000042182.17",34,44,16,4,31,17,21,4,4,5,9,1,3,18,14,14,16
"ENSMUSG00000026131.21",11774,10783,1247,1555,4055,3710,2894,667,557,430,499,648,470,3786,1485,2786,1847
"ENSMUSG00000042111.10",741,543,542,675,471,362,422,134,169,124,159,105,141,506,197,180,181
"ENSMUSG00000026127.14",1297,759,851,920,1239,1059,955,272,235,243,241,229,284,1063,480,541,562
"ENSMUSG00000026126.16",138,156,113,140,129,92,121,48,78,46,92,19,19,117,43,83,84
"ENSMUSG00000026125.10",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026124.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037529.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000045174.11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037509.22",82,71,20,19,21,15,31,5,2,2,5,2,1,19,27,24,35
"ENSMUSG00000118272.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037503.13",4821,3230,1580,1916,3789,3046,3018,510,573,512,580,446,567,3015,2040,2326,2582
"ENSMUSG00000026123.12",1039,1030,747,693,976,746,1068,155,267,199,252,153,141,1063,350,396,360
"ENSMUSG00000045216.8",6003,3856,3033,3332,3481,2978,3317,458,722,660,721,589,579,5176,951,1146,1086
"ENSMUSG00000037470.15",7716,7387,2560,1926,3753,2916,2754,634,727,602,785,474,612,3420,3084,3567,3478
"ENSMUSG00000047180.9",878,868,632,344,845,400,677,108,105,178,241,112,85,467,146,196,188
"ENSMUSG00000037447.17",273,186,120,150,121,118,117,25,26,40,29,26,21,235,48,69,69
"ENSMUSG00000010453.13",3742,2699,1883,2853,2251,2532,2131,407,409,332,311,364,363,2440,682,914,796
"ENSMUSG00000037432.16",322,270,62,72,141,110,107,13,16,19,15,9,18,149,40,96,55
"ENSMUSG00000001143.14",1228,856,640,597,725,660,575,164,159,156,156,126,150,806,56,109,105
"ENSMUSG00000037408.11",435,304,146,217,266,247,250,44,40,27,31,36,58,245,157,192,161
"ENSMUSG00000001138.14",861,552,617,633,735,624,662,96,133,124,147,112,174,742,209,269,247
"ENSMUSG00000067653.13",47,13,30,55,13,17,9,5,0,3,1,1,3,18,8,11,18
"ENSMUSG00000109510.2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079610.10",310,161,101,161,134,104,83,33,19,16,26,18,33,127,117,209,162
"ENSMUSG00000026121.14",398,313,195,330,376,244,259,35,29,32,67,34,20,209,111,111,110
"ENSMUSG00000046337.18",2,0,0,0,4,1,3,2,1,0,1,0,1,1,0,0,0
"ENSMUSG00000061518.12",4448,2291,4438,5198,2600,2824,2227,1688,1628,1303,1508,1406,1696,3913,2556,2306,3677
"ENSMUSG00000037351.10",2933,1899,2203,2362,2561,2270,2063,455,476,455,546,431,556,2730,1440,1579,1576
"ENSMUSG00000102416.5",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ENSMUSG00000026117.11",688,551,938,473,652,837,529,288,265,282,292,250,253,801,456,379,659
"ENSMUSG00000026116.12",4037,3711,787,1062,1443,1267,1266,163,205,203,202,161,202,1761,286,385,359
"ENSMUSG00000050122.20",51,56,13,109,22,37,13,8,14,18,12,4,3,37,3,2,5
"ENSMUSG00000026114.15",1,0,0,0,2,0,2,0,0,0,1,1,1,0,0,0,0
"ENSMUSG00000026113.18",2765,1900,945,1721,716,938,784,251,223,205,169,220,215,1134,208,263,217
"ENSMUSG00000026112.8",5104,5374,3131,2692,4373,3871,3685,1029,946,749,832,792,849,4038,1277,1458,1378
"ENSMUSG00000026111.16",1015,834,1129,1163,941,846,814,258,241,213,253,214,269,947,832,867,962
"ENSMUSG00000026110.16",434,499,87,82,328,166,198,41,55,38,59,38,18,143,56,79,119
"ENSMUSG00000026090.17",15,10,5,11,10,4,7,2,0,6,1,6,0,9,2,5,5
"ENSMUSG00000060771.16",339,553,50,74,102,89,77,19,21,13,20,21,28,107,62,83,53
"ENSMUSG00000037216.6",320,233,217,236,234,203,219,57,78,62,68,56,70,269,181,197,179
"ENSMUSG00000026088.16",615,556,278,348,307,238,268,72,70,74,77,80,96,393,209,260,215
"ENSMUSG00000026087.12",1864,1705,1579,1590,1214,1476,1190,466,487,391,392,451,582,1432,1061,1096,1089
"ENSMUSG00000061584.7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026085.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000058407.13",2590,2221,1445,1251,1425,1379,1180,427,479,408,419,424,458,1676,1005,982,1019
"ENSMUSG00000026083.13",6803,7677,1012,1045,2647,2011,1925,1288,1660,1707,1614,1496,1218,2718,592,688,567
"ENSMUSG00000026082.12",1287,1059,434,898,350,309,354,32,51,56,46,65,44,469,312,375,304
"ENSMUSG00000037138.19",87,41,39,22,51,30,38,12,17,9,13,5,12,38,5,12,26
"ENSMUSG00000048814.12",3,1,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0
"ENSMUSG00000026080.15",24,25,6,5,9,11,0,8,0,4,0,2,4,9,0,1,3
"ENSMUSG00000067604.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026078.11",1190,1162,688,685,766,633,701,267,191,195,207,188,211,625,122,135,148
"ENSMUSG00000026077.16",1171,409,85,5,356,104,135,43,15,8,41,5,33,63,78,81,57
"ENSMUSG00000073702.12",8046,6683,6745,9109,6066,6686,5328,1681,2083,1259,1611,1563,2279,6024,2124,2372,2436
"ENSMUSG00000003134.11",1869,1967,465,1063,799,1435,623,142,175,165,141,193,128,1310,381,498,518
"ENSMUSG00000003135.16",1182,1274,430,492,652,633,601,181,176,189,169,153,173,668,340,358,384
"ENSMUSG00000048234.14",3952,2873,1381,1772,2335,2083,1892,556,577,566,518,467,579,2898,1544,1632,1426
"ENSMUSG00000050967.6",4,4,0,0,1,8,1,2,0,2,0,1,1,0,0,1,6
"ENSMUSG00000057173.9",1,4,0,1,1,0,4,0,0,0,0,0,1,0,0,2,1
"ENSMUSG00000091937.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026074.16",2573,1656,478,740,1191,1286,1162,151,166,129,207,131,161,598,351,397,469
"ENSMUSG00000026073.14",8,3,14,87,11,17,13,3,3,3,4,2,0,30,0,1,2
"ENSMUSG00000026072.13",3053,6016,1070,10114,1152,1354,1224,265,184,236,287,284,111,3111,153,264,206
"ENSMUSG00000070942.9",64,36,17,16,44,22,56,6,21,8,5,5,2,21,8,4,6
"ENSMUSG00000026069.16",13,13,8,5,2,5,15,1,1,0,1,2,0,3,1,1,1
"ENSMUSG00000026070.16",154,129,30,18,38,65,44,36,27,23,18,17,18,76,25,26,22
"ENSMUSG00000026068.12",180,134,70,92,43,51,31,21,6,12,16,9,9,73,13,30,11
"ENSMUSG00000026065.9",1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0
"ENSMUSG00000026062.13",5,16,6,6,11,10,2,1,1,3,6,1,0,2,0,0,0
"ENSMUSG00000041945.13",44,32,7,1,50,33,40,6,9,3,6,5,3,37,58,32,67
"ENSMUSG00000079588.4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000045515.5",0,0,0,3,3,0,0,1,0,2,1,0,2,3,0,0,2
"ENSMUSG00000060679.15",1712,1480,955,1128,776,654,717,262,275,258,220,247,287,880,587,651,787
"ENSMUSG00000041907.10",0,0,3,0,2,2,1,0,0,0,0,1,0,0,0,0,2
"ENSMUSG00000070939.10",3213,2476,1379,1509,1621,951,1337,237,255,245,290,220,254,1745,301,382,355
"ENSMUSG00000010290.8",926,935,364,407,491,599,464,104,121,97,108,109,113,478,487,507,478
"ENSMUSG00000008136.15",45,19,30,12,11,34,27,13,20,15,9,24,9,15,24,23,10
"ENSMUSG00000066877.12",338,259,94,99,146,199,128,25,38,23,27,20,25,110,93,119,141
"ENSMUSG00000026051.9",13,7,0,0,5,2,0,0,2,3,1,0,0,0,1,1,1
"ENSMUSG00000057363.13",811,1043,454,365,590,443,506,113,123,90,155,93,122,588,245,269,288
"ENSMUSG00000041763.15",6197,8003,927,865,1735,1507,1530,213,280,212,269,245,272,1642,1334,1476,1521
"ENSMUSG00000047343.5",173,114,0,4,0,1,6,0,0,2,0,0,0,5,17,14,20
"ENSMUSG00000091844.3",332,324,8,3,7,8,6,1,2,1,0,1,0,4,13,23,5
"ENSMUSG00000026049.12",225,388,108,148,96,113,94,23,31,26,30,30,38,107,70,81,57
"ENSMUSG00000026047.14",384,307,219,266,279,221,248,46,40,35,51,23,42,269,106,140,140
"ENSMUSG00000041684.12",1029,1207,434,402,560,576,578,145,117,85,110,107,122,515,351,372,443
"ENSMUSG00000026048.17",2259,2389,822,1097,732,903,732,202,189,198,167,224,172,869,425,416,391
"ENSMUSG00000046828.4",0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1
"ENSMUSG00000056870.10",80,73,6,3,19,16,28,8,10,4,6,5,6,8,21,17,33
"ENSMUSG00000026043.19",2930,3291,665,158,1839,2203,3084,359,383,353,387,580,338,1017,715,1103,1435
"ENSMUSG00000026042.17",465,480,107,107,221,1247,412,113,38,31,55,91,41,194,178,286,220
"ENSMUSG00000025995.17",1277,1377,443,629,455,429,413,87,97,112,132,116,89,614,653,612,637
"ENSMUSG00000025993.11",17483,20010,5755,5984,17298,9316,11063,1535,2176,2008,3327,1244,1808,9315,6989,7395,8899
"ENSMUSG00000041144.13",99,64,4,1,7,9,7,1,4,2,1,1,1,3,11,16,12
"ENSMUSG00000101337.7",10,12,2,1,4,4,2,1,2,2,0,0,1,3,2,3,3
"ENSMUSG00000025986.7",357,404,114,158,195,194,181,24,39,22,31,32,53,159,99,96,91
"ENSMUSG00000026109.15",10,0,1,0,1,1,1,1,4,2,2,3,2,0,1,0,0
"ENSMUSG00000045954.8",1830,2197,439,452,970,1151,903,209,187,126,264,216,164,409,655,548,936
"ENSMUSG00000026107.12",1929,2597,812,781,750,913,843,227,238,172,164,233,177,784,381,552,337
"ENSMUSG00000018417.15",21750,21744,3800,5264,9134,8711,7906,1718,1664,1317,1360,1561,1809,11766,6876,7080,6445
"ENSMUSG00000062939.12",109,112,12,9,22,26,23,16,15,7,8,9,1,31,12,8,12
"ENSMUSG00000026104.15",2453,3996,1263,563,1346,890,1382,364,317,948,392,419,311,2808,646,1078,748
"ENSMUSG00000026103.15",2459,3794,379,337,571,579,480,110,117,70,137,83,64,307,555,751,831
"ENSMUSG00000002881.15",6622,8055,1871,2267,3072,2774,2209,753,607,601,574,619,484,2770,1509,1678,1723
"ENSMUSG00000043015.16",173,150,72,131,66,65,73,12,15,9,26,7,19,69,31,44,56
"ENSMUSG00000041439.16",670,663,261,207,602,502,461,94,103,90,157,75,78,513,129,145,199
"ENSMUSG00000026102.10",1032,1070,364,491,515,499,455,93,118,166,117,86,101,528,235,310,357
"ENSMUSG00000041426.13",5219,5989,1585,1360,3035,2533,2669,679,891,621,663,644,876,3367,1332,1389,1902
"ENSMUSG00000043629.13",124,132,24,14,22,12,21,8,7,5,9,4,9,19,4,6,22
"ENSMUSG00000026100.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060715.10",28,28,5,0,1,0,2,0,0,0,0,0,0,0,2,7,4
"ENSMUSG00000026098.14",733,664,87,125,219,149,169,25,36,33,29,27,31,161,276,301,260
"ENSMUSG00000026097.10",750,833,622,526,966,839,722,185,192,181,182,200,238,730,785,921,869
"ENSMUSG00000100679.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
"ENSMUSG00000026096.15",987,1239,407,326,488,471,435,96,96,77,81,87,130,523,604,592,654
"ENSMUSG00000099913.2",20,14,8,22,1,4,4,2,2,0,1,2,1,4,7,2,4
"ENSMUSG00000026095.16",283,204,470,552,310,315,276,112,90,98,92,103,133,341,336,311,325
"ENSMUSG00000117809.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096141.3",6,5,1,2,1,5,2,0,3,1,0,1,1,4,1,0,1
"ENSMUSG00000026094.15",1136,1897,466,461,759,533,607,132,256,194,342,142,112,536,523,503,424
"ENSMUSG00000042807.16",1562,1703,104,173,358,430,309,21,22,20,26,31,24,122,350,400,371
"ENSMUSG00000025983.12",30,13,2,0,5,1,1,2,2,0,1,1,1,2,6,2,5
"ENSMUSG00000041303.8",1773,1787,430,409,779,783,784,152,159,134,135,168,146,775,681,798,861
"ENSMUSG00000109809.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073678.5",3122,3914,554,628,1076,1053,886,142,181,135,148,158,209,960,1512,1577,1499
"ENSMUSG00000052331.15",1487,1470,202,191,386,413,402,89,77,63,83,66,66,309,282,291,335
"ENSMUSG00000025982.14",16446,19791,6281,8824,6287,6452,5889,1233,1304,1204,1040,1484,1147,7053,5593,5833,5731
"ENSMUSG00000025981.14",737,1202,1343,2419,512,786,448,295,254,356,175,478,138,783,476,438,314
"ENSMUSG00000025980.15",32065,40556,9758,10270,16887,16217,13415,5709,5264,5117,4051,4964,5057,18247,7403,7873,7979
"ENSMUSG00000073676.5",4726,4047,4399,5242,3898,3755,2934,2147,1750,1796,1588,1741,1556,4106,1509,1495,1921
"ENSMUSG00000025979.14",2303,3599,809,948,864,831,765,323,310,332,306,369,271,891,815,882,803
"ENSMUSG00000025978.15",102,56,243,203,44,57,51,8,7,6,9,8,8,229,13,24,16
"ENSMUSG00000046994.10",565,628,118,215,169,168,175,31,30,21,34,21,25,215,171,198,196
"ENSMUSG00000025977.16",19,24,2,0,0,0,1,1,3,2,2,1,0,5,3,8,7
"ENSMUSG00000038349.11",162,143,35,18,55,57,70,13,20,10,14,13,7,43,30,30,39
"ENSMUSG00000045336.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038331.16",87,57,38,14,31,34,33,4,9,6,7,9,8,55,7,2,4
"ENSMUSG00000038323.4",1877,2817,735,596,1010,709,672,147,166,129,167,137,210,814,1693,1710,1591
"ENSMUSG00000048495.17",413,436,229,270,260,240,204,69,64,72,52,78,81,215,236,214,279
"ENSMUSG00000025971.7",1237,1598,619,501,500,392,371,124,129,129,153,124,149,531,188,209,212
"ENSMUSG00000038305.16",163,112,60,18,64,52,87,9,15,10,27,15,12,36,8,12,15
"ENSMUSG00000054770.17",771,560,261,370,244,232,226,60,65,61,63,57,70,293,241,270,239
"ENSMUSG00000026039.10",9,22,11,1,13,14,12,0,0,3,8,1,0,12,5,9,6
"ENSMUSG00000063558.5",12616,6388,3795,3541,3014,1414,1839,535,398,382,378,305,586,3744,2323,2266,1745
"ENSMUSG00000064294.13",29048,21888,11173,3040,12033,7590,8566,1617,1921,1534,2147,1887,2461,11392,10388,11086,10123
"ENSMUSG00000038242.13",1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000079554.3",13,14,2,1,6,9,6,3,1,1,0,1,0,5,3,0,6
"ENSMUSG00000051223.15",10412,14309,4167,4472,6818,7572,5749,1540,1287,1222,1294,1366,1313,6330,4208,4224,4498
"ENSMUSG00000026034.18",10598,9157,3912,7942,3419,4057,3343,902,877,753,627,1040,817,3399,2638,2562,2735
"ENSMUSG00000026035.16",545,420,346,296,347,350,322,113,90,71,96,100,111,329,451,427,393
"ENSMUSG00000026036.18",666,626,408,316,652,592,517,111,119,101,119,92,125,613,281,265,293
"ENSMUSG00000026037.15",467,515,131,170,196,191,212,31,41,34,45,50,42,221,188,199,219
"ENSMUSG00000038174.15",4574,6212,306,495,837,794,774,162,189,167,138,195,194,986,1356,1567,1786
"ENSMUSG00000026032.9",1504,642,1917,1951,1219,1148,1051,742,644,719,581,674,695,1489,680,711,1041
"ENSMUSG00000047528.14",12,19,6,2,13,2,12,0,7,5,1,1,8,3,7,5,9
"ENSMUSG00000026031.16",19821,15447,3309,4114,4701,4259,3893,827,873,790,857,822,888,3834,3092,3705,3405
"ENSMUSG00000026029.15",2422,2219,950,864,817,600,708,89,210,192,232,148,228,1362,641,771,850
"ENSMUSG00000026028.13",2350,2663,684,1130,1173,1018,1018,177,172,198,222,187,156,1171,277,356,380
"ENSMUSG00000026027.14",1650,1502,1372,1270,1134,964,1077,266,285,267,278,266,261,1357,208,283,275
"ENSMUSG00000072295.8",2,1,1,1,0,0,2,0,0,2,0,2,0,0,0,2,1
"ENSMUSG00000038079.15",102,105,149,155,146,208,191,66,32,53,46,47,39,170,112,103,135
"ENSMUSG00000079550.10",288,208,87,23,35,32,22,7,17,5,7,12,8,45,38,51,62
"ENSMUSG00000026024.15",10993,7191,1359,1075,4147,3217,3523,525,636,556,585,518,776,3948,2602,3315,3301
"ENSMUSG00000026023.17",6,4,7,3,5,0,1,1,2,2,3,1,0,0,3,1,4
"ENSMUSG00000041075.9",1481,1142,481,404,1009,663,791,123,177,115,187,97,186,859,669,723,781
"ENSMUSG00000047361.17",14,9,0,1,1,0,14,0,0,0,3,0,0,3,2,1,0
