"","SRR10025177","SRR10025178","SRR10025179","SRR9119213","SRR9119214","SRR9119215","SRR7050693","SRR7050694","SRR7050695","SRR15809339","SRR15809340","SRR13640879","SRR13640881","SRR13640883","SRR6292438","SRR6292439"
"ENSMUSG00000066113.17",464,402,298,46,43,18,119,70,66,13,18,71,27,82,48,10
"ENSMUSG00000028492.14",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000070934.7",718,768,961,776,734,793,1243,1210,1429,277,260,625,729,671,415,294
"ENSMUSG00000038047.19",373,445,1069,95,93,65,252,238,287,125,162,81,90,114,25,25
"ENSMUSG00000028494.13",13078,19996,21885,15595,15862,13959,12742,22081,25101,3692,3546,4813,5966,6879,26719,13559
"ENSMUSG00000038024.18",3753,3702,6248,481,315,456,1623,1860,1884,410,458,476,584,566,204,245
"ENSMUSG00000028495.15",5854,6512,10850,8475,8774,6189,15111,13279,15146,3098,2905,7117,7883,8681,3460,3761
"ENSMUSG00000038007.15",576,715,955,240,168,128,793,842,801,112,263,219,295,448,202,111
"ENSMUSG00000037996.18",2,0,4,1,0,1,2,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028496.18",901,711,2573,103,68,61,397,361,387,97,109,83,129,189,28,23
"ENSMUSG00000038368.17",1051,1143,1391,201,155,178,458,408,372,121,167,144,303,217,98,84
"ENSMUSG00000028497.13",178,169,435,59,28,33,143,139,144,20,26,42,80,171,9,6
"ENSMUSG00000048806.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096011.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095896.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095270.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073811.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038330.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000063376.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000078355.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000078354.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100079.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070923.5",1807,1938,5775,655,699,649,2117,2344,2709,777,784,613,855,947,249,269
"ENSMUSG00000097078.2",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"ENSMUSG00000094618.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100505.2",1,6,5,0,0,0,0,0,0,0,0,0,0,5,1,0
"ENSMUSG00000094271.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096582.2",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"ENSMUSG00000096591.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096854.2",4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099545.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100234.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101163.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099518.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099420.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095101.3",3,5,2,0,0,0,0,0,0,0,0,0,0,0,5,0
"ENSMUSG00000094648.2",0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ENSMUSG00000070908.2",3,2,2,0,0,0,0,0,1,0,3,0,0,0,5,0
"ENSMUSG00000100713.2",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"ENSMUSG00000100549.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101252.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096682.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070904.5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095498.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000045364.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000062937.8",587,755,964,536,603,855,813,775,689,193,197,323,397,368,316,199
"ENSMUSG00000044303.7",13,23,32,9,13,7,22,32,26,12,26,99,31,125,57,11
"ENSMUSG00000073802.6",46,29,56,6,7,5,16,13,28,10,4,8,1,12,10,5
"ENSMUSG00000043753.3",113,170,301,74,44,60,78,118,160,68,123,72,83,83,21,16
"ENSMUSG00000070902.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000008489.19",0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000028533.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066107.7",33,37,77,32,8,23,126,123,85,0,0,10,5,18,3,6
"ENSMUSG00000054000.6",126,104,64,56,63,41,125,127,148,59,69,42,31,24,51,23
"ENSMUSG00000028578.9",392,424,1065,84,72,82,147,165,202,75,178,48,85,71,28,23
"ENSMUSG00000028577.14",1601,1930,4116,870,806,818,1569,1728,2009,343,411,635,990,900,381,370
"ENSMUSG00000028576.13",170,239,579,67,72,47,125,104,141,47,62,62,73,73,10,28
"ENSMUSG00000049799.14",29,48,96,0,8,5,4,23,4,0,6,0,0,0,0,3
"ENSMUSG00000006386.16",1057,956,1353,243,171,188,612,513,743,89,111,101,174,160,90,58
"ENSMUSG00000028575.12",14,10,31,1,0,0,1,2,4,7,11,3,0,0,0,0
"ENSMUSG00000062627.10",2149,2195,5710,235,170,207,858,936,974,467,677,170,263,276,113,88
"ENSMUSG00000052684.5",1159,922,1285,208,81,115,688,1125,1378,409,1238,402,324,341,451,172
"ENSMUSG00000028573.19",6939,7108,8415,2333,2400,1998,4388,4599,4861,1742,2223,2420,2993,2498,1463,1123
"ENSMUSG00000028572.14",2506,3160,8045,971,767,905,1999,2315,2201,553,910,695,1366,1064,193,357
"ENSMUSG00000028571.16",5,1,1,0,0,0,14,19,11,2,0,0,0,0,0,0
"ENSMUSG00000081225.4",0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"ENSMUSG00000081362.4",0,0,0,0,0,0,30,17,20,0,0,0,0,0,0,1
"ENSMUSG00000066097.7",0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082932.4",36,31,16,5,2,2,21,22,26,17,44,0,1,0,2,6
"ENSMUSG00000052914.5",2651,3268,4830,1109,1694,1363,2510,3516,3184,883,965,978,1204,1615,267,586
"ENSMUSG00000015224.11",1578,925,853,180,104,88,540,403,669,824,1568,62,91,162,62,154
"ENSMUSG00000052520.8",23422,29545,36135,14113,17324,17842,27849,33665,31684,2332,2137,8582,12255,11928,4437,5197
"ENSMUSG00000078639.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000048747.15",2,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0
"ENSMUSG00000028565.19",8967,9717,13002,938,1055,879,2475,3059,3115,1454,1807,656,803,768,1005,403
"ENSMUSG00000028563.17",189,202,477,244,289,285,559,606,657,105,67,221,318,315,63,55
"ENSMUSG00000061859.18",2407,2508,2235,285,246,297,591,566,459,135,210,246,174,229,156,148
"ENSMUSG00000087166.10",0,2,1,0,1,0,1,3,3,1,0,0,0,0,0,0
"ENSMUSG00000035407.9",5,8,13,3,0,3,1,1,4,3,4,0,0,2,0,0
"ENSMUSG00000073794.4",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"ENSMUSG00000028560.12",1012,1103,2732,397,295,364,735,759,843,241,308,267,489,446,71,96
"ENSMUSG00000028556.16",3139,3108,3077,380,321,348,1807,1655,1758,706,921,496,589,600,233,302
"ENSMUSG00000028553.13",20524,22911,41323,12537,16713,14859,36337,36851,41054,9300,7993,11762,15013,15116,9676,10453
"ENSMUSG00000028550.16",859,859,1533,262,223,259,630,636,777,126,122,186,266,326,141,95
"ENSMUSG00000070891.3",86,91,107,12,1,2,24,29,28,94,70,3,3,10,31,7
"ENSMUSG00000067261.5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000073792.12",477,535,1103,209,168,169,441,464,453,123,185,115,129,177,89,67
"ENSMUSG00000028549.18",90,99,394,59,64,40,140,128,135,28,31,38,58,43,5,20
"ENSMUSG00000073791.14",71,87,283,11,7,7,12,9,14,23,8,1,5,8,5,5
"ENSMUSG00000025791.19",5856,6699,6532,5116,6110,5209,8425,8531,7746,1184,1285,4071,4125,4497,3136,3047
"ENSMUSG00000035305.6",733,715,382,67,41,57,254,181,168,131,180,65,95,60,32,36
"ENSMUSG00000069733.12",116,107,360,15,24,20,63,89,142,29,15,86,113,60,3,7
"ENSMUSG00000028532.15",249,267,196,33,22,20,73,76,73,33,55,41,13,32,35,12
"ENSMUSG00000035275.15",161,154,375,22,10,6,29,19,41,7,10,2,16,24,9,3
"ENSMUSG00000028530.15",7381,7577,13210,2324,1654,1845,6042,5757,5653,1111,1439,1497,2589,2783,1506,1121
"ENSMUSG00000028527.19",1498,2114,3009,2584,2065,1670,2481,3326,2723,499,441,1042,1229,2597,527,592
"ENSMUSG00000028528.18",9,5,67,3,1,0,4,1,5,0,0,0,0,2,0,0
"ENSMUSG00000035212.15",493,524,1163,642,464,376,758,813,1202,242,250,382,459,774,318,144
"ENSMUSG00000057722.18",959,1115,3993,245,29,39,491,659,795,60,72,113,346,177,94,16
"ENSMUSG00000035201.16",2,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000046133.4",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"ENSMUSG00000037028.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070890.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000078626.3",2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000078625.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028525.17",2900,2467,3782,775,454,379,1484,1053,1260,242,373,664,788,296,145,208
"ENSMUSG00000028524.22",85,82,164,9,4,10,11,18,22,1,5,5,4,7,14,3
"ENSMUSG00000028523.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066090.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035126.20",107,112,166,16,12,13,39,51,31,57,75,6,22,15,3,1
"ENSMUSG00000028522.17",2342,2535,6606,638,494,608,1329,1565,1876,473,660,286,523,570,114,173
"ENSMUSG00000028521.18",6417,7204,7875,1864,2105,2354,4111,4020,3785,1451,1799,1399,1427,1795,621,778
"ENSMUSG00000028520.13",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035069.4",842,887,1132,394,412,422,665,614,591,131,128,397,374,368,216,205
"ENSMUSG00000028519.17",38,38,27,10,3,21,18,23,13,26,11,15,0,0,6,3
"ENSMUSG00000029656.14",2431,2038,6325,2180,1689,2561,3176,2712,1929,134,221,2927,2955,3648,256,349
"ENSMUSG00000035031.16",7751,4645,16001,3295,2155,2910,3602,2971,2351,969,3219,7003,6417,9112,266,616
"ENSMUSG00000095386.2",73,82,285,0,0,1,1,0,1,8,16,0,0,7,0,0
"ENSMUSG00000078612.10",864,748,903,113,110,127,252,183,238,131,244,81,163,166,39,94
"ENSMUSG00000028518.9",3126,3836,6355,1265,1049,1198,2923,3234,2946,329,324,557,797,858,194,272
"ENSMUSG00000028517.9",11993,12272,8702,4470,4634,4489,9176,11692,10610,2109,2288,3412,3582,3515,4545,2279
"ENSMUSG00000028514.16",7681,8071,13383,1390,1288,1592,3062,3234,2773,1016,1250,1065,1524,1614,1065,646
"ENSMUSG00000044254.7",6239,5575,3261,1890,1253,1761,3388,3159,1668,1465,2859,3617,2709,2659,660,125
"ENSMUSG00000025418.8",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"ENSMUSG00000085933.4",4,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000034926.4",32865,40889,26929,15936,14792,18519,28383,30383,20624,2049,3437,25428,20436,25424,15007,5952
"ENSMUSG00000054362.10",15,14,6,0,0,1,2,2,0,2,4,0,0,5,0,3
"ENSMUSG00000034919.3",9,9,6,0,0,0,1,7,2,25,7,0,0,2,0,0
"ENSMUSG00000043572.8",193,210,243,92,82,78,136,115,101,33,46,85,57,47,86,83
"ENSMUSG00000025413.14",1046,1132,1405,495,464,418,850,772,836,522,874,419,556,468,298,332
"ENSMUSG00000047502.15",68,66,31,9,8,1,40,27,28,11,30,7,19,3,0,4
"ENSMUSG00000034871.3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000034853.17",570,677,313,109,110,20,535,365,237,89,129,399,513,330,167,83
"ENSMUSG00000061887.15",3519,3954,3327,953,1039,1068,2730,2732,2932,866,1116,577,466,599,740,555
"ENSMUSG00000028622.12",1460,1670,1206,882,1112,787,1856,1676,1730,552,850,804,893,760,565,452
"ENSMUSG00000028621.18",496,549,440,242,241,231,403,432,387,260,365,220,229,194,168,180
"ENSMUSG00000047636.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028619.16",554,674,1020,228,284,137,470,568,480,101,127,286,246,332,277,191
"ENSMUSG00000028618.12",4067,4853,6239,4488,4796,4721,10232,9735,11702,2225,1533,5952,6516,7633,2757,2055
"ENSMUSG00000070877.5",14,8,7,1,0,0,0,2,0,1,0,0,0,0,0,0
"ENSMUSG00000028617.11",682,775,853,677,528,412,594,595,678,167,225,458,371,529,374,330
"ENSMUSG00000063172.14",101,128,236,73,79,66,179,169,208,61,31,47,46,88,116,46
"ENSMUSG00000034785.16",2785,3861,5856,2586,1372,2283,6034,7655,5902,1473,728,2389,3707,2405,3486,1612
"ENSMUSG00000057375.14",1172,1148,1396,631,619,517,1259,1155,1267,158,148,625,840,926,348,373
"ENSMUSG00000028614.15",324,380,620,239,249,201,456,572,466,74,116,182,185,238,137,82
"ENSMUSG00000034762.10",11,19,6,7,5,0,4,6,5,0,11,9,8,5,0,0
"ENSMUSG00000028610.17",0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028613.16",45,45,206,3,1,1,8,6,8,2,9,5,8,6,0,4
"ENSMUSG00000028609.7",449,408,1304,352,324,283,615,587,665,229,244,256,326,278,81,99
"ENSMUSG00000028608.16",979,1130,1348,508,560,327,827,869,796,437,507,324,562,531,219,238
"ENSMUSG00000028607.17",4204,5492,5219,3661,4161,4447,5538,6530,6167,1857,1602,1876,1958,2103,7552,4528
"ENSMUSG00000008932.11",11,11,17,2,4,1,9,7,5,3,9,1,4,0,11,0
"ENSMUSG00000028600.16",266,343,234,83,82,39,255,305,214,171,243,104,45,119,51,44
"ENSMUSG00000028603.16",62455,74704,171453,45779,51761,51092,76091,69312,84346,24351,20656,29439,31710,33532,20961,23342
"ENSMUSG00000028601.19",9305,10774,8926,2532,2651,1643,5305,4820,5320,7298,12907,2908,2843,3271,2869,2683
"ENSMUSG00000034645.15",593,693,346,37,22,33,102,115,73,80,125,35,43,29,41,32
"ENSMUSG00000034636.10",2739,2873,5929,825,651,882,2684,2701,2052,275,244,455,704,886,211,256
"ENSMUSG00000048351.15",916,977,1210,418,465,346,721,791,796,243,267,399,614,592,293,245
"ENSMUSG00000059816.6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028597.12",54,58,107,37,41,29,76,64,57,32,26,41,55,77,35,17
"ENSMUSG00000034610.15",4144,4835,10622,512,327,354,1858,2198,1758,621,870,342,390,698,148,253
"ENSMUSG00000063800.6",639,631,1224,236,236,178,370,390,387,101,181,218,276,294,135,90
"ENSMUSG00000028587.19",81,62,172,5,0,2,8,7,3,2,10,0,1,2,4,0
"ENSMUSG00000028582.15",1008,1020,750,236,191,193,446,387,410,282,470,206,307,308,337,194
"ENSMUSG00000034557.15",1624,1711,3320,401,370,353,871,960,1061,246,197,281,463,459,133,138
"ENSMUSG00000094958.2",48,55,52,3,4,1,26,14,11,12,12,0,3,4,0,2
"ENSMUSG00000028568.17",1228,1151,3236,807,800,697,1713,1684,1877,542,488,507,628,783,402,329
"ENSMUSG00000028567.9",1070,1157,2102,841,785,774,1604,1624,1816,190,200,626,608,675,431,425
"ENSMUSG00000073775.5",437,434,424,327,300,252,415,503,516,215,217,250,330,345,393,132
"ENSMUSG00000003411.11",12,10,11,5,6,4,19,9,25,4,3,1,17,0,1,6
"ENSMUSG00000053510.13",4828,5655,8026,1665,1462,1379,3491,3659,3464,801,1344,1242,1854,1935,804,740
"ENSMUSG00000028559.18",4057,5017,7310,3021,2272,2242,5940,6492,6248,1027,1209,2198,3060,3482,1164,1193
"ENSMUSG00000028558.15",11,8,12,5,0,0,0,3,3,1,0,0,0,0,0,0
"ENSMUSG00000028552.14",2271,2345,7495,676,532,833,1964,2538,2386,430,462,606,838,986,210,206
"ENSMUSG00000028555.16",153,136,164,15,2,11,22,12,19,18,38,46,40,83,6,1
"ENSMUSG00000028557.11",2177,2306,5099,1679,1678,1724,2687,2927,3688,767,558,964,1233,1360,747,591
"ENSMUSG00000060491.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028551.15",179,198,336,82,99,75,351,298,397,187,119,221,180,338,103,118
"ENSMUSG00000010517.8",1652,1957,3079,683,686,618,1363,1374,1273,162,276,622,644,630,384,357
"ENSMUSG00000047143.4",10,12,4,1,0,0,1,2,2,4,8,0,1,3,0,2
"ENSMUSG00000028546.18",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000061298.15",0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000028545.14",45,26,137,6,4,3,15,8,9,14,4,0,3,3,5,0
"ENSMUSG00000034401.17",200,172,494,33,16,13,106,72,78,39,28,14,36,44,4,6
"ENSMUSG00000028544.15",1,1,1,0,0,0,3,0,1,1,7,2,1,4,0,0
"ENSMUSG00000078599.10",0,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0
"ENSMUSG00000049214.14",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000089773.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000055960.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070868.12",10,16,44,4,0,0,4,11,12,9,2,0,7,10,0,1
"ENSMUSG00000049972.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000034359.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048766.7",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087194.10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000078598.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000057977.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070867.5",75,120,92,10,4,2,28,37,28,24,45,7,12,20,11,4
"ENSMUSG00000055198.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000055210.5",10,10,4,0,0,0,3,1,1,3,2,0,1,2,7,0
"ENSMUSG00000044518.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028719.9",1699,1938,5248,1553,1762,1670,2606,2795,3069,686,690,912,1198,1563,528,439
"ENSMUSG00000028718.17",25,33,158,7,1,0,7,5,12,14,6,0,2,22,0,2
"ENSMUSG00000028717.13",127,147,113,29,16,10,61,58,93,30,34,35,37,67,27,11
"ENSMUSG00000028716.16",136,134,85,45,69,12,196,156,114,205,137,166,89,163,7,11
"ENSMUSG00000047155.14",4,1,5,0,0,0,0,0,2,0,4,0,0,4,1,0
"ENSMUSG00000083138.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066071.7",3,4,2,3,3,2,566,28,7,3,5,0,0,0,4,1
"ENSMUSG00000078597.3",1,3,1,0,0,0,301,15,7,0,0,0,0,0,4,0
"ENSMUSG00000084346.5",1,0,1,0,0,0,1,1,4,0,0,0,0,0,0,0
"ENSMUSG00000028715.3",33217,38856,47270,6332,10058,14828,33732,37423,58028,21953,30961,521,1046,4475,55253,34827
"ENSMUSG00000066072.14",22846,37004,69023,3752,10775,16006,19525,35017,38645,18659,13991,1265,2153,5513,47379,28161
"ENSMUSG00000028712.13",681,773,927,171,329,435,3537,6279,6854,246,305,192,176,376,2947,1885
"ENSMUSG00000063929.7",3074,3106,3673,730,1119,2033,5957,10549,11206,431,542,296,429,961,4790,3735
"ENSMUSG00000028713.18",1135,1063,874,403,361,319,1145,1072,1290,240,261,319,385,540,320,100
"ENSMUSG00000034210.15",1418,1583,3333,455,397,460,1036,1162,1125,171,205,389,611,599,217,148
"ENSMUSG00000044556.4",8,9,4,2,1,0,1,3,1,2,7,0,0,0,0,0
"ENSMUSG00000028710.19",993,1014,1731,374,378,288,789,816,857,167,242,352,374,316,167,174
"ENSMUSG00000028709.4",1051,1163,1213,344,331,216,724,816,855,558,1011,297,413,539,350,238
"ENSMUSG00000028708.17",1012,1107,1256,377,306,240,784,823,859,307,536,337,376,543,228,225
"ENSMUSG00000073774.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000034185.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028707.16",1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
"ENSMUSG00000034171.14",9199,9356,7207,3537,4404,4095,6068,6177,6585,2746,4530,2586,2892,2765,4778,2451
"ENSMUSG00000028706.15",844,1005,1015,413,373,341,601,613,707,218,349,413,439,496,244,184
"ENSMUSG00000063882.13",3566,3772,4437,3249,4170,3152,5662,4842,6137,1114,606,2346,3148,3389,2982,1458
"ENSMUSG00000028703.15",831,929,1014,276,208,329,642,540,597,130,133,358,367,426,392,185
"ENSMUSG00000028702.16",110,114,195,6,5,1,20,18,22,18,10,13,13,18,13,3
"ENSMUSG00000028700.15",1192,1182,1306,417,326,354,599,653,670,366,599,453,559,487,439,271
"ENSMUSG00000028701.5",70,69,130,9,9,8,44,49,34,20,7,0,4,15,13,2
"ENSMUSG00000028699.10",37,33,31,0,0,0,0,1,0,1,0,0,0,0,0,0
"ENSMUSG00000078593.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111410.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028698.14",74,87,134,23,18,33,48,51,54,16,18,21,69,32,3,2
"ENSMUSG00000003810.14",1567,1839,1227,324,250,253,806,598,618,438,830,330,336,327,371,194
"ENSMUSG00000028696.13",335,421,830,191,209,248,272,288,302,46,45,216,231,223,89,56
"ENSMUSG00000055900.15",381,431,960,180,232,202,623,626,589,259,347,183,195,224,109,73
"ENSMUSG00000034042.17",2886,3097,6215,1111,997,995,2368,2497,2809,769,1042,587,799,889,298,328
"ENSMUSG00000034035.19",380,387,420,89,83,41,286,255,209,203,363,62,62,90,91,70
"ENSMUSG00000028693.16",979,979,2009,404,304,289,464,522,611,268,346,229,454,469,87,91
"ENSMUSG00000028692.15",7297,8193,7229,7345,9110,6419,11714,11623,11837,2161,1492,8054,9874,11882,5291,4570
"ENSMUSG00000028691.13",13050,15180,32796,18797,22551,20428,32586,36003,38253,4268,1532,17279,25970,25055,12347,11102
"ENSMUSG00000028690.5",523,528,684,272,284,271,911,785,649,144,106,200,344,218,251,97
"ENSMUSG00000028689.15",344,402,330,155,119,101,274,289,316,250,371,114,109,128,132,82
"ENSMUSG00000033985.18",594,602,599,265,265,256,486,519,469,158,311,221,283,400,148,114
"ENSMUSG00000028688.14",247,235,370,143,101,88,186,158,170,74,123,116,177,172,51,46
"ENSMUSG00000028687.18",53,40,70,13,5,10,22,31,23,37,47,29,11,20,19,6
"ENSMUSG00000043155.5",3,8,5,0,3,2,10,2,5,1,0,1,14,3,0,5
"ENSMUSG00000033948.4",255,288,251,88,53,94,137,104,146,21,56,73,89,77,50,45
"ENSMUSG00000028684.15",2237,2335,1825,1988,2192,1458,2450,2040,2342,836,895,1544,1623,1756,2539,1323
"ENSMUSG00000046861.10",3172,3296,2435,1485,1554,1421,3027,3059,2716,1313,1947,1144,1179,1275,1400,748
"ENSMUSG00000028683.15",644,591,894,180,174,125,286,249,215,110,109,224,263,193,59,53
"ENSMUSG00000028681.12",135,155,57,22,14,7,57,42,67,13,20,0,9,3,11,11
"ENSMUSG00000073771.12",115,113,117,36,18,22,50,69,63,42,95,55,16,47,6,15
"ENSMUSG00000047671.9",19,28,22,0,1,0,8,3,2,3,7,0,2,3,11,1
"ENSMUSG00000028680.15",1367,1510,704,451,283,191,816,1727,1321,1015,3292,1557,1153,925,1197,746
"ENSMUSG00000047675.16",4821,5723,9708,6222,6732,4266,5379,4771,5511,3083,1888,4005,4444,5173,6429,3618
"ENSMUSG00000028678.14",25,30,91,15,4,5,17,15,20,6,0,2,22,42,0,9
"ENSMUSG00000060268.13",3,2,2,1,1,1,0,1,1,0,0,0,0,0,0,0
"ENSMUSG00000048772.16",658,620,416,510,753,550,749,751,739,509,626,477,559,654,1337,597
"ENSMUSG00000028677.20",1494,1557,1089,556,505,387,910,821,977,374,669,335,402,574,584,314
"ENSMUSG00000033423.17",1663,1842,1424,568,684,461,1182,1207,1159,427,641,555,570,598,752,390
"ENSMUSG00000009640.12",746,798,676,316,355,290,402,386,407,238,393,130,175,177,235,187
"ENSMUSG00000108127.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048626.6",35,46,57,0,0,0,0,1,1,2,0,0,0,0,0,0
"ENSMUSG00000028542.18",481,572,464,202,190,289,333,388,292,190,252,293,265,495,368,134
"ENSMUSG00000078588.11",16,26,21,2,0,1,1,6,0,9,20,0,3,5,5,1
"ENSMUSG00000028541.15",47,43,22,11,5,6,11,22,22,32,33,0,8,11,0,7
"ENSMUSG00000033379.14",1202,1225,1203,970,1212,834,1325,1395,1465,1296,1742,1768,1783,2295,1869,687
"ENSMUSG00000028540.7",170,176,137,83,66,90,137,134,134,101,131,102,136,132,107,39
"ENSMUSG00000033365.15",919,879,507,324,275,252,398,360,400,254,341,294,350,321,407,173
"ENSMUSG00000028539.15",6,9,0,0,0,0,5,1,1,0,3,0,3,0,0,0
"ENSMUSG00000028538.13",2620,3302,3104,1663,1357,1172,2001,2101,1950,490,712,1614,1329,1415,1852,729
"ENSMUSG00000033326.16",2915,3589,2022,745,494,523,1125,1155,1036,762,1366,718,799,672,985,506
"ENSMUSG00000033295.15",15367,17764,11588,4657,3650,4534,7967,7372,6232,1651,3153,2953,2983,3299,4605,2957
"ENSMUSG00000033253.19",4358,4445,1684,281,259,386,705,642,615,990,1648,361,438,414,722,354
"ENSMUSG00000006392.17",1385,1341,1563,801,831,860,1202,1130,1251,460,540,722,968,748,565,452
"ENSMUSG00000006390.16",1259,1510,604,659,738,876,1488,1281,1285,404,543,995,1135,1230,618,382
"ENSMUSG00000006398.16",42,48,104,29,17,10,9,18,16,14,13,23,26,77,6,5
