"","Sex","age_class","series_id"
"SRR10025177","Female","class3","GSE136417"
"SRR10025178","Female","class3","GSE136417"
"SRR10025179","Female","class3","GSE136417"
"SRR9119213","Female","class3","GSE131754"
"SRR9119214","Female","class3","GSE131754"
"SRR9119215","Female","class3","GSE131754"
"SRR7050693","Female","class3","GSE97024"
"SRR7050694","Female","class3","GSE97024"
"SRR7050695","Female","class3","GSE97024"
"SRR15809339","Female","class3","GSE183666"
"SRR15809340","Female","class3","GSE183666"
"SRR13640879","Female","class3","GSE159914"
"SRR13640881","Female","class3","GSE159914"
"SRR13640883","Female","class3","GSE159914"
"SRR6292438","Female","class3","GSE106903"
"SRR6292439","Female","class3","GSE106903"
