"","Sex","age_class"
"SRR10573519","Male","class2"
"SRR10573536","Male","class2"
"SRR10573763","Male","class2"
"SRR10573779","Male","class2"
"SRR10573796","Male","class2"
"SRR10574011","Male","class2"
"SRR11216562","Male","class2"
"SRR11216563","Male","class2"
"SRR11216564","Male","class2"
"SRR1794790","Male","class2"
"SRR1794791","Male","class2"
"SRR1794792","Male","class2"
"SRR1794793","Male","class2"
"SRR2297657","Male","class2"
"SRR2297658","Male","class2"
"SRR2297659","Male","class2"
"SRR2297660","Male","class2"
"SRR2297661","Male","class2"
"SRR2297662","Male","class2"
"SRR2297663","Male","class2"
"SRR2297664","Male","class2"
"SRR2297665","Male","class2"
"SRR2297666","Male","class2"
"SRR2297667","Male","class2"
"SRR2297668","Male","class2"
"SRR2297669","Male","class2"
"SRR2297670","Male","class2"
"SRR2297671","Male","class2"
"SRR2297672","Male","class2"
"SRR2297673","Male","class2"
"SRR2297674","Male","class2"
"SRR2297675","Male","class2"
"SRR2297676","Male","class2"
"SRR2297677","Male","class2"
"SRR2297678","Male","class2"
"SRR2297679","Male","class2"
"SRR2297680","Male","class2"
"SRR2297681","Male","class2"
"SRR2297682","Male","class2"
"SRR2297683","Male","class2"
"SRR2297684","Male","class2"
"SRR2297685","Male","class2"
"SRR2297686","Male","class2"
"SRR2297687","Male","class2"
"SRR2297688","Male","class2"
"SRR2297689","Male","class2"
"SRR2297690","Male","class2"
"SRR2297691","Male","class2"
"SRR2297692","Male","class2"
"SRR2297693","Male","class2"
"SRR2297694","Male","class2"
"SRR2297695","Male","class2"
"SRR2297696","Male","class2"
"SRR2297697","Male","class2"
"SRR2297698","Male","class2"
"SRR2297699","Male","class2"
"SRR2297700","Male","class2"
"SRR2297701","Male","class2"
"SRR2297702","Male","class2"
"SRR3657797","Male","class2"
"SRR3657798","Male","class2"
"SRR3657799","Male","class2"
"SRR6714708","Male","class2"
"SRR6714709","Male","class2"
"SRR6714710","Male","class2"
"SRR6714711","Male","class2"
