"","Sex","age_class","series_id"
"SRR13842754","sex: male","class4","GSE168137"
"SRR13842755","sex: male","class4","GSE168137"
"SRR13842756","sex: male","class4","GSE168137"
"SRR13842757","sex: male","class4","GSE168137"
"SRR13842758","sex: male","class4","GSE168137"
"SRR6788829","sex: male","class4","GSE111212"
"SRR6788830","sex: male","class4","GSE111212"
"SRR6788831","sex: male","class4","GSE111212"
"SRR6788832","sex: male","class4","GSE111212"
"SRR6793095","sex: male","class4","GSE111270"
"SRR6793096","sex: male","class4","GSE111270"
"SRR6793097","sex: male","class4","GSE111270"
"SRR6793098","sex: male","class4","GSE111270"
"SRR6793099","sex: male","class4","GSE111270"
"SRR6793100","sex: male","class4","GSE111270"
"SRR6793104","sex: male","class4","GSE111270"
"SRR6793106","sex: male","class4","GSE111270"
"SRR6793108","sex: male","class4","GSE111270"
"SRR6793128","sex: male","class4","GSE111270"
"SRR6793129","sex: male","class4","GSE111270"
"SRR6793130","sex: male","class4","GSE111270"
"SRR6793131","sex: male","class4","GSE111270"
"SRR6793132","sex: male","class4","GSE111270"
"SRR6793133","sex: male","class4","GSE111270"
