"","SRR13842739","SRR13842740","SRR13842741","SRR13842742","SRR13842743","SRR13842744","SRR13842745","SRR13842746","SRR13842747","SRR13842748","SRR13842749","SRR13842750","SRR13842751","SRR13842752","SRR13842753","SRR13884080","SRR13884092","SRR13884104"
"ENSMUSG00000110195.2",6.39951,6.674184,6.735798,6.758907,6.380903,6.491524,6.633547,6.819514,6.498376,6.59865,6.432222,6.933337,6.527055,6.837812,6.479713,6.140379,6.268795,6.174555
"ENSMUSG00000030651.6",3.194884,3.194884,3.194884,3.194884,3.194884,3.194884,3.626213,3.532982,3.194884,3.194884,3.194884,3.784769,3.194884,3.194884,3.194884,3.202839,3.571844,3.610011
"ENSMUSG00000001829.18",9.656131,9.573073,9.615637,9.50737,9.640991,9.497997,9.921536,9.607048,9.609889,9.455529,9.827026,9.817663,9.591598,9.5034,9.480004,9.735803,9.677471,9.663522
"ENSMUSG00000007946.12",3.228789,3.934108,3.881512,3.228789,3.727413,3.228789,3.228789,3.566887,3.228789,3.228789,3.228789,3.228789,3.228789,3.228789,3.228789,3.193266,3.193266,3.600438
"ENSMUSG00000032737.14",8.462029,8.703608,8.086146,8.716911,8.594055,8.703418,8.134583,8.624162,8.655767,8.778434,7.894784,8.245025,8.91954,8.801663,8.837346,8.632629,8.750748,8.632538
"ENSMUSG00000032725.11",4.088674,4.100792,4.507923,4.216524,4.588637,3.395473,3.826802,4.067135,4.236668,3.85631,4.300103,3.395473,3.395473,4.008367,4.082449,4.272867,4.041353,3.224919
"ENSMUSG00000001827.13",4.985435,4.409909,5.842878,8.365378,9.913725,9.368579,4.85551,7.271808,9.639097,3.612448,9.209299,4.734988,8.948262,8.937815,5.961341,7.65138,4.78039,6.988359
"ENSMUSG00000030649.19",6.885277,6.986644,6.943654,7.081288,7.086695,6.932179,7.195345,6.966054,6.882519,6.854769,6.597261,6.988757,6.918723,7.038324,6.833049,7.075982,6.911762,6.905158
"ENSMUSG00000078630.9",3.86617,4.244867,4.067949,4.006441,4.661179,3.668835,4.145967,3.62716,3.796694,4.485909,3.994662,4.112268,3.758827,3.568393,4.124412,3.937067,4.192356,3.460213
"ENSMUSG00000030842.13",9.31641,9.399345,9.616348,9.427932,9.314889,9.542071,9.256365,9.576495,9.353973,9.682107,9.20668,9.266595,9.574206,9.832071,9.572952,9.576597,9.489997,9.468014
"ENSMUSG00000064307.14",5.537752,5.561713,5.422975,5.683476,6.243539,5.83637,5.681348,5.954796,5.890133,5.331715,6.019164,5.481904,5.823852,6.258226,5.531614,5.305967,5.354096,5.567564
"ENSMUSG00000066306.14",10.52146,11.00687,10.46043,10.65084,10.57363,10.68507,10.69271,10.7087,10.68173,10.66562,10.42168,10.7166,10.86709,10.51024,10.73228,10.77419,10.83649,10.68922
"ENSMUSG00000070427.5",6.31438,6.9457,6.530851,7.016227,6.904495,6.773367,6.466566,6.60247,6.838675,6.157095,6.92507,6.968667,6.943497,6.917038,6.553001,6.561725,6.584968,6.52251
"ENSMUSG00000070426.13",8.616442,8.633547,8.542011,8.442511,8.436354,8.689159,8.674213,8.480489,8.510825,8.690743,8.548571,8.517328,8.657392,8.581189,8.685466,8.7293,8.685569,8.61264
"ENSMUSG00000099481.7",6.848513,7.426777,6.787918,7.134936,7.399959,6.89464,6.814264,6.936786,6.775595,6.934056,7.110933,7.298983,7.418751,6.817528,6.827626,6.924463,6.894318,6.966939
"ENSMUSG00000070425.14",4.098074,3.605573,4.258296,4.083837,4.104196,3.605573,4.92787,3.943671,3.605573,4.066411,4.13351,4.195459,4.177232,4.466058,4.568343,3.711087,3.648819,3.702319
"ENSMUSG00000070424.13",3.179124,3.179124,3.179124,3.657388,3.179124,3.179124,3.179124,3.179124,3.869133,3.179124,3.179124,3.179124,3.179124,3.179124,3.179124,3.118023,3.638472,3.118023
"ENSMUSG00000030996.9",3.477307,3.833534,3.128215,3.801556,3.829952,3.997584,3.735977,3.128215,3.818224,3.589053,3.128215,4.136418,3.699874,3.9887,4.090985,3.648686,3.310735,3.310735
"ENSMUSG00000066279.4",3.428011,3.078919,3.078919,4.466219,3.780656,3.078919,3.686681,3.89794,3.569131,3.078919,3.078919,3.078919,3.882248,3.078919,3.078919,3.33899,3.33899,3.33899
"ENSMUSG00000063550.9",9.634038,9.810245,9.512742,9.753627,9.924457,9.398893,9.758401,9.681441,9.406621,9.359231,10.16866,9.862358,9.947412,9.350081,9.558832,9.510441,9.441094,9.487987
